Model,Accuracy,Precision,Recall,F1-Score
Xception,0.6082561078348778,0.6441663421411729,0.6082561078348778,0.5863741327373653
VGG16,0.8711036225779275,0.871628000295106,0.8711036225779275,0.8700074391359808
MobileNet,0.9949452401010952,0.9949452401010952,0.9949452401010952,0.9949452401010952
ResNet50,0.8247683235046336,0.8364776006586163,0.8247683235046336,0.8251750357595382
